"","County","HWYPROP","RYPROP","fatal_rate","pct_pub_transport","rate_al_pn_gm_env","rate_ent_env","rate_ed_env","rate_food_env_neg","rate_food_env_pos","rate_hc_env","rate_rec_env","rate_trans_env","rate_civic_env","to_unit_rate","Instances","Instance Rate"
"32","Durham",0.06605493,0.19123074,0.0002911,3,0.0001388,0.000403,0.001321,0.0009269,0.0022569,0.0037929,0.0001388,0.0002329,0.0001567,0.0207466,"1,559",464.3
"33","Edgecombe",0.04544769,0.19156901,0.0005395,1.6,0.000054,0.000054,0.0007553,0.0007373,0.0014027,0.001061,0.000054,0.0001259,0.000054,0.0223897,"331",448.8
"34","Forsyth",0.06101653,0.1879975,0.0003006,1.5,0.0003039,0.0004509,0.0006306,0.0008037,0.002042,0.0031202,0.0001634,0.0000817,0.0000948,0.0232204,"2,226",481.7
"35","Franklin",0.02420544,0.11211692,0.0007406,0.3,0.0001693,0.0001481,0.0005713,0.0005925,0.0012907,0.0012696,0.0000846,0.0000846,0.0000212,0.0047397,"444",508.5
"36","Gaston",0.02834142,0.19577632,0.0003677,0.3,0.0001208,0.0003625,0.0005358,0.0011452,0.0015286,0.0021853,0.0002101,0.0001156,0.000084,0.015817,"1,353",491.4
"37","Gates",0,0.19035902,0.0018068,0,0.0000951,0.0000951,0.0005706,0.0001902,0.0014264,0.0011411,0.0002853,NA,NA,0,"37",203.6
"38","Graham",0,0.16883901,0.0012511,0.2,0.0001251,0.0003753,0.0008758,0.0005004,0.001126,0.002252,0.0005004,NA,0.0001251,0.1470036,"63",466.3
"39","Granville",0.04222697,0.12344394,0.0003299,0.1,0.0000412,0.0002268,0.0006598,0.0008454,0.0011753,0.0017733,0.0001443,0.0000412,0.0000412,0.0058147,"477",601.2
"40","Greene",0,0.18850961,0.0007379,0.4,0.0001581,NA,0.0004216,0.0004743,0.0013703,0.0005797,0.0000527,NA,0.0001054,0.0150733,"118",428.5
"41","Guilford",0.06684646,0.19050066,0.0003539,1.3,0.0002945,0.000551,0.0008669,0.0010331,0.0022563,0.0029854,0.00019,0.0001069,0.0001164,0.0192282,"3,134",505.2
"42","Halifax",0.0343423,0.18145414,0.0005055,0.3,0.0000872,0.0001743,0.0004358,0.0007495,0.0016908,0.0018302,0.0001046,0.0001569,0.0000697,0.0044797,"330",454.1
"43","Harnett",0.02442346,0.10812901,0.0007141,0.4,0.0001318,0.0000989,0.0005713,0.0006482,0.0010656,0.0013513,0.0001099,0.000033,0.0000879,0.0046141,"658",482.6
"44","Haywood",0.05402856,0.08552002,0.0003331,0.5,0.0002221,0.0006663,0.0006663,0.0010734,0.0022024,0.0032943,0.0002776,0.0001296,0.0001296,0.0145097,"514",512.9
"45","Henderson",0.02584816,0.06824349,0.0004374,0.2,0.0002131,0.000471,0.0004037,0.0008523,0.0018167,0.0035885,0.0002691,0.0001234,0.0000785,0.0124365,"856",436.9
"46","Hertford",0.05578332,0.16084299,0.0012389,0.8,0.0000442,0.000354,0.0007964,0.0008849,0.0023008,0.002876,0.0001327,0.0002655,0.0000442,0.0081855,"144",431.1
"47","Hoke",0,0.0605122,0.0010105,0.5,0.0000297,0.0000594,0.0004755,0.0004755,0.0008322,0.0008322,0.0000892,0.0000297,0.0000297,0,"226",449.5
"48","Hyde",0,0.3130064,0.0001716,0.8,0.0003433,0.0005149,0.0003433,0.0008582,0.0030896,0.0008582,0.0008582,NA,NA,0,"28",341.5
"49","Iredell",0.05162458,0.09258973,0.0007745,0.2,0.0002201,0.0003506,0.000587,0.0011006,0.0020626,0.0034567,0.000269,0.0001386,0.0001549,0.0106147,"1,018",461
"50","Jackson",0.0474822,0.06665759,0.0003623,0.3,0.0001208,0.0005133,0.0004227,0.0008756,0.0020229,0.0026569,0.0002717,0.0000906,0.0000906,0.0097823,"220",386.1
"51","Johnston",0.07663756,0.13740152,0.0006559,0.4,0.000164,0.0001804,0.0007379,0.0009921,0.0016726,0.0016316,0.0001476,0.0001066,0.0000574,0.0096749,"1,097",492.8
"52","Jones",0.06393941,0.1250271,0.0001927,0.2,0.0001927,0.0003853,0.0004816,0.0004816,0.001156,0.001156,NA,NA,0.0000963,0,"73",477.9
