"","County","PM10_mean","PM25_mean","NO2_mean","SO2_mean","O3_mean","CO_mean","BENZENE","TOLUENE","XYLENES","Pb","Hg","As","WaterCR","Cd","Air","PCB","HCB","EOx","VyCl","TRICHLORENE","C2CL4","DCM","C3H3N","Benzidine","24D","ATRAZINE","HCCPD","pct_manure_acres","Herbicides","Fungicides","Insecticides","Per_TotPopSS_ave","med_hh_inc","pct_pers_lt_pov","med_hh_value","pct_unemp","pct_hs_more","pct_mt_10units","med_rooms","violent_rate","work_out_co","Instances"
"11","Buncombe",13.45949636,13.051658649,1170.1279115,540.1252669,7529.928099,1276.1516737,0.57,0.5,0.5,0.0011312941,0.0005400176,0.007,0.013,0.0000555376,0.0005730314,0.1,0.1,0.0075686125,0.0123193419,1.94,0.78,0.5,0.0044386557,0.000000031171875,0.1,0.1,0.1,0.010931343,293.66742,93.5072,56.74275,36.52,36666,11.4,119600,4.8,81.9,4.9,5.2,668.5,10.6,"1,477"
"12","Burke",16.00580925,12.661071774,957.85304167,347.94752003,7695.5757406,1329.3748,0.5,0.5,0.5,0.0008178627,0.0005167107,0.004,0.006,0.0000462915,0.000082966,0.1,0.1,0.004905271,0.0063924505,0.5,0.5,0.5,0.0025403421,0.00000015462942,0.1,0.1,0.1,0.004879683,3636.374331,186.5087702,382.2132847,39.37,35629,10.7,85900,4.2,67.6,1.7,5.1,184.39999,31,"551"
"13","Cabarrus",18.05618124,12.922106715,1074.0985807,250.51584551,7387.680007,1688.3083039,0.5,0.6,0.96,0.0024949065,0.0005821377,0.005,0.013,0.0000503037,0.0003666519,0.1,0.1,0.0056607651,0.0102298347,0.5,0.5,0.7,0.0025266792,0.00000040383365,0.1,0.1,0.1,0.014782488,16411.36124,233.9408851,1501.229422,23.21,46140,7.1,118200,4.2,78.2,5.1,5.4,355.25,46.9,"936"
"14","Caldwell",15.05234642,12.581549538,886.52612827,318.34563534,7598.1371421,1352.4344432,0.5,0.5,0.5,0.0007003815,0.0005186229,0.005,0.018,0.0000491679,0.000088312,0.1,0.1,0.0039191267,0.0055485713,0.5,0.5,0.5,0.0023965379,0.00000020026295,0.1,0.1,0.1,0.006022159,2511.418371,189.3203702,300.7862447,32.2,35739,10.7,86700,3.4,66.2,2.5,5.2,265,30.9,"470"
"15","Camden",11.121865169,10.092560921,552.72992477,1728.0368078,7744.1651867,4451.1155125,0.5,0.5,0.5,0.0005979165,0.0005093347,0.005,0.005,0.0000296166,0.0001514562,0.1,0.1,0.0011954665,0.0000476265,0.5,0.5,0.5,0.0009426445,0.00000033278002,0.1,0.1,0.1,0.00046001,86583.5962,20317.0556,11920.11663,16.34,39493,10.1,103100,3.7,82.1,0.3,6,561.8566,76.3,"57"
"16","Carteret",6.4561797005,8.7341334472,159.5258733,174.97849615,2683.4490759,735.34988188,0.5,8.75,0.5,0.0007059481,0.0005031234,0.006,0.018,0.0001200236,0.0000787024,0.1,0.1,0.0008217475,0.0050604344,0.5,0.5,0.5,0.0006184788,0.00000024627996,0.31,0.1,0.2,0.0000641071,73897.04017,3468.679,7446.44348,31.29,38344,10.7,123900,5,82.1,5.9,5.2,0,25.3,"474"
"17","Caswell",13.166865983,12.149284307,740.05925,311.8485438,7274.7820381,1614.7362895,0.5,0.5,0.5,0.0007533588,0.0005237803,0.004,0.01,0.0000945463,0.0002535237,0.1,0.1,0.0024077991,0.0000558749,0.5,0.5,0.5,0.0014041967,0.0000010985656,0.1,0.1,0.1,0.006612078,2524.61287,63.983,262.03306,87,35018,14.4,80800,6.5,69.2,1.1,5.4,496.25074,72.8,"144"
"18","Catawba",19.277152335,13.13649788,997.18457947,283.06730466,7530.0779346,1367.184979,0.5,0.58,1.82,0.0016999823,0.0005319621,0.004,0.013,0.0000605901,0.0005518637,0.1,0.1,0.0045050792,0.0098008264,0.5,0.5,0.5,0.0023382409,0.00000026112026,0.1,0.1,0.1,0.007772636,14414.30791,369.1775702,1142.791815,42.5,40536,9.1,103000,3.3,74.8,4.5,5.2,399,15.6,"908"
"19","Chatham",15.231627798,12.146529427,685.23386194,259.56931841,7233.5195559,1624.1203162,0.5,0.5,0.5,0.0007003108,0.0005095644,0.005,0.014,0.000031589,0.0000772464,0.1,0.1,0.0028158057,0.0000564297,0.5,0.5,0.5,0.001318479,0.0000012846761,0.1,0.11,0.1,0.03044787,5154.78805,208.7426,512.71005,54.76,42851,9.7,127200,2.9,77.9,2.7,5.5,782.40002,55.3,"424"
"20","Cherokee",11.387717076,12.638931362,1478.1423493,794.86544086,6874.2264915,852.86862089,0.5,0.5,0.5,0.0003946993,0.0005023792,0.007,0.014,0.000028504,0.000049417,0.1,0.1,0.003364649,0.0000313223,0.5,0.5,0.5,0.0061567993,0.0000000066,0.1,0.1,0.1,0.001456432,1574.013247,318.92,244.3046067,67.32,27992,15.3,86000,5.5,73.3,0.4,5.1,503.38526,18.7,"201"
"21","Chowan",10.012364561,10.078112443,343.49969269,767.41171787,7065.1633837,2457.0395384,0.5,0.5,0.5,0.0005256242,0.000511116,0,0,0.0000319264,0.0000951055,0.1,0.1,0.001216746,0.000033506,0.5,0.5,0.5,0.0009181133,0.0000004621661,0.21,0.1,0.1,0.012597242,15619.05812,138.4742851,1268.40189,7.19,30928,17.6,85200,6.7,73.1,1.5,5.4,546.86097,28.4,"120"
"22","Clay",11.000217505,12.68200421,1231.3431003,604.68099921,6458.6182005,858.95106045,0.5,0.5,0.5,0.0003677171,0.0005032299,0.009,0.02,0.0000278852,0.0000514253,0.1,0.1,0.0036034659,0.0000133179,0.5,0.5,0.5,0.0053637885,0.0000000066,0.1,0.1,0.1,0.007628343,1129.964547,9.52,101.2134767,86.61,31397,11.4,99800,4,76.5,0,5.2,499.44908,48.4,"95"
"23","Cleveland",16.722262242,12.650308828,1075.0224741,327.30549485,7568.8552487,1204.8380586,0.5,0.5,0.5,0.000671485,0.0005376975,0.005,0.013,0.0000453284,0.0001742542,0.1,0.1,0.0055932256,0.0069631219,0.5,0.5,0.5,0.0028178182,0.00000015043259,0.1,0.1,0.1,0.020476553,10944.5569,208.1436,821.78355,17.57,35283,13.3,83200,5.4,72.2,1.8,5.3,880.60004,32.8,"642"
"24","Columbus",10.107905529,10.796572162,367.80876773,224.75409436,6479.1751561,989.27967319,0.5,0.5,3.23,0.0005095053,0.0005745612,0.005,0.02,0.0000424205,0.0000628197,0.1,0.1,0.0018467221,0.0002726622,0.5,0.5,0.5,0.0010724952,0.00000030745152,0.1,0.1,0.1,0.020593016,119663.5655,596.1922,10156.0863,64.69,26805,22.7,76100,7.7,68.6,0.6,5.4,0,28.1,"315"
"25","Craven",9.6160551354,9.8721272587,219.9714623,384.99887196,4714.87144,1143.0297712,0.5,0.5,0.5,0.0007128984,0.0005127149,0.005,0.015,0.0000817672,0.0000919549,0.1,0.1,0.0017715414,0.0079796859,0.5,0.5,0.5,0.0008165064,0.00000043069686,2.42,0.1,0.1,0.001965891,39623.14063,101.9844,3525.909664,19.84,35966,13.1,96600,5.3,82.1,2.9,5.4,548.29999,14.1,"604"
"26","Cumberland",18.261979738,12.185466291,496.59760305,235.64642306,7879.4492584,878.82200934,0.5,1.27,1.81,0.0010066598,0.0005179243,0.006,0.011,0.0000406264,0.0004317381,0.1,0.1,0.0045957487,0.0147699806,0.53,0.5,0.5,0.0015811728,0.00000065683632,0.1,0.1,0.1,0.006212412,37057.23982,165.9696,3065.27217,8.54,37466,12.8,88800,8.6,85,4.4,5.4,702.25,9.5,"1,305"
"27","Currituck",9.0636830965,9.6540521078,451.96442748,1296.0503562,6203.7467893,4129.6141738,0.5,0.5,0.5,0.0004258505,0.0005048632,0.005,0.02,0.0000281577,0.0001340552,0.1,0.1,0.0010225939,0.0000727298,0.5,0.5,0.5,0.000858849,0.0000002526041,0.1,0.1,0.1,0.002089675,44138.06784,410.6456851,4050.007962,25.09,40822,10.7,115500,3.7,77.6,0.6,6.3,515.50022,66.5,"127"
"28","Dare",5.4566085285,8.2300486453,106.07662564,170.36247144,2562.7676285,1104.0159184,0.5,0.5,0.5,0.0011273307,0.0005010724,0.005,0.017,0.00002435,0.0000424384,0.1,0.1,0.0007088024,0.0031051166,0.5,0.5,0.5,0.0006643846,0.00000018484134,0.1,0.1,0.1,0,1876.03524,20.0646,96.33739381,17.39,42411,8,137200,4.9,88.6,3.7,5.4,513.98371,10,"216"
"29","Davidson",18.585287376,14.397070126,1147.3152867,264.85043907,20265.528652,1390.0177508,0.5,0.5,0.5,0.0016237759,0.0005308784,0.005,0.014,0.0000647059,0.0004439502,0.1,0.1,0.0038118054,0.0085810264,0.5,0.5,0.5,0.0019044137,0.00000070747992,0.1,0.1,0.1,0.018798962,19044.00005,105.6122,1584.75381,17.1,38640,10.1,98600,4.1,72,1.6,5.2,691.25,44.3,"1,000"
"30","Davie",17.419999172,12.415904825,1165.6135695,271.21023729,7781.0453269,1568.6317554,0.5,0.5,0.5,0.0006232215,0.000517912,0.005,0.01,0.0000361332,0.0001188144,0.1,0.1,0.0034562614,0.0002405224,0.5,0.5,0.5,0.0022029838,0.00000050083578,0.1,0.1,0.123,0.011744071,19058.22916,367.9238553,1760.295507,32.7,40174,8.6,116200,3.7,78.1,2.4,5.6,0,53.6,"299"
"31","Duplin",13.297497793,11.595861549,295.98833787,262.75266187,8464.538371,1362.1637349,0.5,0.5,0.5,0.0004743521,0.0005036557,0.005,0.015,0.0000314067,0.0000520729,0.1,0.1,0.0014282754,0.0000367358,0.5,0.5,0.5,0.0008312523,0.00000054202283,0.1,0.1,0.1,0.05660679,154781.4315,768.8516,14324.5648,40.2,29890,19.4,74800,7.4,65.8,1.1,5.4,0,32.3,"320"
