"","County","HWYPROP","RYPROP","fatal_rate","pct_pub_transport","rate_al_pn_gm_env","rate_ent_env","rate_ed_env","rate_food_env_neg","rate_food_env_pos","rate_hc_env","rate_rec_env","rate_trans_env","rate_civic_env","to_unit_rate"
"146","Lafayette",0.02174754,0.13445159,0.0009347,0.5,0.0001168,NA,0.0010515,0.0002337,0.0019862,0.0017525,NA,NA,0.0001168,0
"147","Lawrence",0.0711252,0.11167355,0.0004501,0.3,0.0000563,0.0002813,0.001069,0.0008439,0.0020254,0.0019692,0.0003376,NA,0.0001125,0.024474
"148","Lee",0,0.15634194,0.0010334,0.1,0.0002385,0.0000795,0.0011129,0.0005564,0.0016693,0.0010334,0.0002385,NA,0.0000795,0.0428458
"149","Lincoln",0.01952149,0.12350866,0.000414,0.3,0.000138,0.000138,0.000483,0.000345,0.000828,0.0009661,NA,NA,NA,0.0090395
"150","Little River",0.02764163,0.11062344,0.0002201,0.4,0.0002201,0.0001468,0.0005136,0.0008072,0.0016143,0.0019078,0.0005136,0.0000734,0.0000734,0.0145289
"151","Logan",0.00088868,0.11600136,0.0003558,0.1,0.0003113,0.0002668,0.0010673,0.0009339,0.0009784,0.0014676,0.0002224,0.0001334,0.0000889,0.0097394
"152","Lonoke",0.03649871,0.15098528,0.0007004,0.2,0.0001893,0.0001704,0.0006815,0.001079,0.0012493,0.0017604,0.0001514,NA,0.0000189,0.0148974
"153","Madison",0.02117158,0.11489177,0.001334,0.3,NA,0.0002106,0.0002808,0.0006319,0.0011234,0.0011234,0.0002808,0.0001404,NA,0
"154","Marion",0.01939504,0.08106671,0.0008674,0.3,0.000062,0.0002478,0.0008674,0.0006815,0.0011772,0.0011772,0.0005576,NA,0.000062,0.001487
"155","Miller",0.11169496,0.11964147,0.0010385,0.2,0.0004945,0.0001236,0.0004698,0.0004698,0.0011621,0.001261,0.0001731,NA,0.0000989,0.0174072
