"","County","pct_rent_occ","pct_vac_units","med_hh_value","med_hh_inc","pct_pers_lt_pov","pct_no_eng","pct_hs_more","pct_unemp","work_out_co","med_rooms","pct_mt_10units","violent_rate"
"889","Barber",24.65324,18.43066,33000,33407,10.1,3,85.8,2,14.1,5.8,3.4,380.15717
"890","Barton",27.95576,11.59994,55500,32176,12.9,7.7,82.3,5.3,9,5.5,3.3,645.09998
"891","Bourbon",25.93735,13.65102,46200,31199,13.5,2.7,84.2,3.9,14.5,5.5,2.9,420.34514
"892","Brown",28.67068,10.32191,50800,31971,12.9,4.3,84.6,5.8,26.9,5.7,2.5,375.66487
"893","Butler",22.31152,7.115119,83900,45474,7.3,3.3,87.3,3.6,51.6,5.7,3.5,164.2
"894","Chase",26.48475,18.50883,39800,32656,8.6,2.2,87.1,2.7,46.1,5.3,0.3,430.41219
"895","Chautauqua",18.20713,17.19687,26200,28717,12.2,2.8,81,4.8,34.6,5.6,0.4,426.43587
"896","Cherokee",23.78592,11.52427,46900,30505,14.3,2.2,80.3,5.5,45.4,5.3,0.8,415.89069
"897","Cheyenne",22.64706,16.87041,48500,30599,9.4,5,85.5,2.8,13.2,6,0.4,312.48563
"898","Clark",23.49336,11.88119,42600,33857,12.7,4.7,87.4,2.6,22.5,5.9,1.4,364.95982
"899","Clay",23.03014,11.43487,52900,33965,10.1,3.8,87,3.5,28,5.8,4.9,362.23893
"900","Cloud",25.55849,13.95205,42400,31758,10.8,2.9,85.5,4.3,14.1,5.6,1.2,321.80641
"901","Coffey",21.72542,9.98452,60700,37839,6.6,3.5,86.9,4.4,21.7,5.5,1.1,435.77991
"902","Comanche",26.49083,19.85294,29700,29415,10.2,1.6,91.3,0.2,14.1,5.6,1.8,395.77557
"903","Cowley",29.13313,10.42557,54100,34406,12.9,4.7,85.4,7.8,17.4,5.4,3.9,554.40002
"904","Crawford",35.69402,9.970385,54000,29409,16,4.8,84.5,4.9,12.6,5.2,4.7,730.5
"905","Decatur",24.02945,17.95717,43600,30257,11.6,3.6,86.4,1.1,15.4,5.7,1.2,285.17677
"906","Dickinson",25.19296,9.014506,62800,35975,7.5,3.6,86.4,3.2,30.8,5.7,3.2,394.74901
"907","Doniphan",25.43334,9.057036,54700,32537,11.9,2.3,80.2,7,50,5.4,1.8,361.95069
"908","Douglas",48.1058,4.382609,117800,37547,15.9,8.5,92.4,4.6,24,5.2,14.1,401.70001
"909","Edwards",22.47423,17.04675,36300,30530,10.4,10,81.2,2.7,24.6,5.7,3.4,366.96943
"910","Elk",19.19263,24.08602,24700,27267,13.8,2.7,80,4.7,39.3,5.4,0.4,455.36809
"911","Ellis",36.70151,7.327372,85500,32339,12.9,7.5,87.2,4.1,7.2,5.5,5.7,202.8
"912","Ellsworth",20.3547,23.14126,43400,35772,7.2,5.9,84.8,3.5,22.1,5.7,1.9,368.56157
"913","Finney",35.23324,5.921674,83800,38474,14.2,39.2,67.4,4.9,4.7,5.3,5.5,647.09998
"914","Ford",35.18245,6.849785,69200,37860,12.4,35.1,69.9,4.9,6,5.3,5.4,491.5
"915","Franklin",26.50233,7.59605,73800,39052,7.7,3.4,85.3,3.5,40.1,5.5,3.1,431.22586
"916","Geary",49.6462,12.55122,69400,31917,12.1,13.4,86,6.3,40.5,5.1,3.9,1278.9
"917","Gove",20.32129,12.50878,48100,33510,10.3,3.6,84.5,1.9,17.1,6.5,0.8,335.66958
"918","Graham",20.66508,18.67353,41300,31286,11.5,3.3,83.6,2.7,18.6,5.9,0,330.83173
"919","Grant",25.27352,9.415262,78600,39854,10.1,29.9,71.5,4.7,12.2,5.5,1.4,383.26788
"920","Gray",27.33496,6.235672,76000,40000,9.1,13.3,73.6,3.2,28,6,1.1,387.16866
"921","Greeley",24.91694,15.44944,57700,34605,11.6,11.8,83.7,2.5,9.6,5.8,0,383.0747
"922","Greenwood",24.73717,24.31547,35300,30169,12.5,2.6,80.9,4.3,34.3,5.3,0.8,452.35245
"923","Hamilton",30.26566,12.96449,59400,32033,15.7,18.7,76.7,2,9.2,5.6,0.2,391.54636
"924","Harper",25.38767,15.19878,44100,29776,11.6,2.6,83.8,3.8,21,5.5,1.1,384.85973
"925","Harvey",28.11382,5.957542,76400,40907,6.4,8.1,85.3,3.7,32.3,5.7,3.6,316.70001
"926","Haskell",27.81904,9.640024,76100,38634,11.6,24.5,74.8,2.9,22.8,5.6,1.6,373.63218
"927","Hodgeman",21.60804,15.7672,45000,35994,11.5,3,86.9,1.4,21.9,5.7,0,340.94093
"928","Jackson",19.3992,7.204555,70200,40451,8.8,2.5,87.7,3.4,47.3,5.8,1.4,402.71809
"929","Jefferson",14.87555,8.823922,83100,45535,6.7,2.4,88.9,3.4,67.4,5.7,1.1,393.49312
"930","Jewell",20.059,19.40086,24000,30538,11.6,2,87.6,2.3,27.3,5.9,1.4,286.89215
"931","Johnson",27.69032,3.877497,150100,61455,3.4,8.2,94.9,2.3,32,6.4,10.8,253.17143
"932","Kearny",26.45914,6.940253,77500,40149,11.7,22.2,75.8,2.9,29.9,5.8,0.2,372.71469
"933","Kingman",21.86295,12.48702,56800,37790,10.6,2.9,84.7,1.4,35.4,5.8,1.2,407.43385
"934","Kiowa",28.20513,16.92027,44200,31576,10.8,4,85.2,3.4,17.5,5.8,2.7,371.66276
"935","Labette",26.71307,10.78983,39600,30875,12.7,3,83,3.6,15.5,5.5,2.4,610.40002
"936","Lane",22.96703,14.55399,48500,36047,8.2,2.1,88.5,1.9,11.5,6,0.5,348.75508
"937","Leavenworth",33.03281,5.450596,96900,48114,6.7,6.3,86.5,3.4,38.8,5.9,3.3,438.94998
"938","Lincoln",21.25572,17.48516,33900,30893,9.7,2.5,85,2.4,26.3,5.9,1.9,348.56414
"939","Linn",17.46782,19.34322,56100,35906,11,2,80.9,5.5,51.5,5.5,0.5,434.98176
"940","Logan",23.65245,12.64933,55000,32131,7.3,1.8,86.7,3.8,23.9,6,1.4,351.30649
"941","Lyon",39.08407,7.223691,67900,32819,14.5,15.4,81.8,6,10,5.3,10.8,366.20001
"942","McPherson",26.07764,5.283178,82700,41138,6.6,3.9,85.9,4.1,15.3,6,2.2,287.60001
"943","Marion",20.10168,13.05678,52300,34500,8.3,6.3,84.4,2.9,32.1,5.9,3.3,417.98761
"944","Marshall",20.27815,10.82216,46200,32089,9.2,3.4,85.1,3.5,12.6,5.8,2.1,383.7688
"945","Meade",26.09954,12.19512,52900,36761,9.3,14.4,80.3,2.9,26,6,0.2,368.20497
"946","Miami",21.45683,5.63547,106300,46665,5.5,2.4,87.5,2.5,58.6,5.8,1.8,403.22903
"947","Mitchell",25.33333,14.67066,55600,33385,9.5,2.7,88.1,4.2,9.2,5.8,1.2,327.98438
"948","Montgomery",28.32316,13.3899,44400,30997,12.6,3.7,81.2,4.7,10.8,5.4,3.8,772.5
"949","Morris",21.78023,19.6519,48400,32163,9,3.5,84.7,2.9,29.6,5.6,1.5,419.29066
"950","Morton",28.40735,14.02238,67700,37232,10.5,14.6,81.9,3.8,15.5,5.4,0.3,432.12643
"951","Nemaha",19.49987,8.778802,58200,34296,9.1,2.5,83.7,1.9,18.1,5.9,1.8,397.55565
"952","Neosho",25.47856,9.676987,44900,32167,13,3,83.5,4.9,20.3,5.4,1.6,431.66307
"953","Ness",23.87863,17.3842,40600,32340,8.7,3.6,84.4,1.8,10,5.9,2.1,341.53931
"954","Norton",22.10944,15.22634,46800,31050,10.5,3.3,84.8,4,10.7,5.8,1.9,304.35453
"955","Osage",20.24653,7.523511,67600,37928,8.4,2.5,85.5,3.5,60.4,5.6,2.2,418.51711
"956","Osborne",21.4433,19.80157,32000,29145,10.4,2,84.8,3.7,15.4,5.8,1.2,324.34368
"957","Ottawa",17.81893,11.79673,58900,38009,8.6,2.5,86.2,4.4,50.4,5.8,1.9,340.39999
"958","Pawnee",25.59328,12.04239,48800,35175,11.8,2.7,84.8,12,16.5,5.9,2.4,402.71091
"959","Phillips",22.11539,19.17098,48200,35013,10,2,84.4,2.1,12.1,5.8,1.3,312.45036
"960","Pottawatomie",21.54778,7.38613,81100,40176,9.7,3,89.2,3.1,46.2,5.8,1.2,386.71747
"961","Pratt",26.62125,14.46147,56600,35529,9.4,3.6,86.3,4.6,12.6,5.8,3.5,426.95336
"962","Rawlins",23.16785,18.91374,41300,32105,12.5,3.8,84.7,2,13.7,5.7,1.9,298.98811
"963","Reno",29.33956,7.699547,66600,35510,10.9,5.9,82.7,4.6,11.5,5.4,4.3,114.1
"964","Republic",21.07939,17.86058,35300,30494,9.1,3.3,88.6,2.4,15.4,5.7,2.1,328.83667
"965","Rice",23.38272,12.12844,42900,35671,10.7,4.9,83.4,5.8,27.5,5.9,1.8,379.92465
"966","Riley",52.73072,5.385306,93700,32042,20.6,9.7,93.8,7,18.7,5.1,18.1,0
"967","Rooks",22.86198,14.35823,38300,30457,9.8,3,87.1,4.1,18.3,5.9,1,335.52612
"968","Rush",17.63566,19.70954,32200,31268,9.7,6.5,82.8,2.7,29.4,5.8,0.7,390.80516
"969","Russell",24.78952,17.15319,41100,29284,12,3.6,83.1,4.2,14.2,5.7,2.8,373.89709
"970","Saline",30.96193,5.547477,85300,37308,8.8,7,87,3.4,5.3,5.4,4.8,331.60001
"971","Scott",25.57457,10.73767,72100,40534,5.1,5.8,84.5,2.2,11.1,5.9,2.1,355.1752
"972","Sedgwick",33.8385,7.685225,83600,42485,9.5,10.8,85.1,4.8,3.5,5.4,11.6,375.5
"973","Seward",35.93476,7.574436,72400,36752,16.9,41.2,63.7,4.9,9.3,5.1,4.4,382.5
"974","Shawnee",32.49855,6.571955,81600,40988,9.6,6.1,88.1,4,6.7,5.4,11.4,800
"975","Sheridan",17.70463,11.00554,56000,33547,15.7,2.3,87.8,0.6,17.4,6.5,2.1,308.80264
"976","Sherman",31.1095,13.3794,63900,32684,12.9,9.3,86.6,3.1,9.4,5.7,2.8,328.49636
