"","County","PCT_HARVEST_ACRES","pct_irrigated_acres","farms_per_acres","pct_manure_acres","PCT_NEMATODE_ACRES","PCT_DISEASE_ACRES","PCT_DEFOLIATE_ACRES","PCT_AU","Herbicides","Fungicides","Insecticides","MEAN_AS","MEAN_SE","MEAN_HG","MEAN_PB","MEAN_ZN","MEAN_CU","MEAN_NA__PCT","MEAN_MG_PCT","MEAN_TI_PCT","MEAN_CA_PCT","MEAN_FE_PCT","MEAN_AL_PCT","MEAN_P_PCT","Facilities_per_pop","RADON_ZONE","Instances"
"70","Pasquotank",0.50383931,0.023121156,0.0000377885,0.003535923,0.013652441,0.031720737,0.01132575,0.612516188,127738.7967,25782.203,15861.65522,3.532,0.427,0.139,22.258,44.787,8.306,1.087,0.244,0.457,0.674,1.514,5.63,0.044,0.000343869,3,"206"
"71","Pender",0.055904811,0.034327956,0.000122301,0.00583525,0.004005766,0.007185583,0.006255763,0.127135051,35403.10902,134.5308,3096.12405,2.101,0.24,0.053,19.469,12.768,3.257,0.058,0.027,0.568,0.056,0.575,0.91,0.014,0.000219074,3,"313"
"72","Perquimans",0.406782978,0.06004317,0.0000807543,0.013120193,0.044433846,0.027313942,0.111488387,0.039136977,83101.98752,2405.3168,7203.32558,3.988,0.314,0.058,29.348,45.107,6.83,0.869,0.218,0.57,0.538,1.684,4.723,0.026,0.000263899,3,"108"
"73","Person",0.09427046,0.196448347,0.000332537,0.002857501,0.003251906,0.000827477,0.002146026,0.130113698,11832.73397,229.901,1115.31425,2.309,0.22,0.053,16.638,39.631,17.019,0.911,0.644,0.489,1.775,3.214,5.388,0.023,0.000421076,3,"235"
"74","Pitt",0.296492471,0.102793729,0.00014318,0.013719035,0.065469077,0.071590024,0.084705316,0.012584371,86100.49582,451.7596,6349.01833,3.552,0.267,0.035,19.097,23.959,4.912,0.113,0.049,0.7,0.116,0.941,1.863,0.031,0.000291484,3,"639"
"75","Polk",0.029030019,0.010818315,0.000170264,0.003922622,0.000150618,0.002789711,0,0.233405551,59.54253,14.1208,14.03665714,0.825,0.101,0.096,27.458,44.028,9.368,0.52,0.386,0.674,0.936,3.187,4.166,0.032,0.000272866,2,"130"
"76","Randolph",0.087327754,0.024782655,0.000134506,0.034577827,0.001157144,0.002343958,0.000401803,0.053034142,21447.45304,148.5888,1727.98267,3.659,0.22,0.038,16.627,38.173,18.137,0.89,0.378,0.496,2.397,3.33,5.168,0.019,0.000383277,3,"886"
"77","Richmond",0.041488125,0.021649803,0.000136839,0.018815292,0.006018515,0.007919339,0.011898432,0.112954315,1611.09147,34.719,182.10163,5.391,0.29,0.056,25.7,29.977,10.71,0.134,0.123,0.665,0.155,1.411,2.33,0.037,0.000450992,3,"262"
"78","Robeson",0.342235852,0.09584674,0.000124865,0.018263094,0.038390942,0.010417981,0.025068216,0.064969618,226766.5564,1715.81214,18247.17169,2.552,0.185,0.031,17.269,11.151,3.83,0.027,0.026,0.559,0.04,0.434,0.908,0.023,0.000389171,3,"599"
"79","Rockingham",0.07512602,0.167238525,0.000567854,0.003748384,0.001935618,0.002104883,0.002588105,0.062043642,7883.61604,531.4448,860.90216,2.041,0.127,0.029,23.816,35.995,9.129,0.641,0.489,0.551,1.267,2.823,4.553,0.017,0.000500392,1,"694"
"80","Rowan",0.146153672,0.027738804,0.000208787,0.011343083,0.000918298,0.003227246,0.004414347,0.123955338,31295.58983,414.7778851,2457.049922,2.728,0.186,0.022,25.087,49.476,17.068,0.893,0.905,0.68,2.679,4.131,5.705,0.03,0.000468007,3,"872"
"81","Rutherford",0.042073467,0.005077642,0.0000828327,0.006071634,0,0,0.001656653,0.041199617,1291.592421,190.8965702,164.9193347,1.45,0.112,0.033,26.988,40.135,9.032,0.526,0.455,0.603,0.993,2.694,5.265,0.037,0.000445158,2,"454"
"82","Sampson",0.278563513,0.219409665,0.000568961,0.045901169,0.06228231,0.023461001,0.094323909,0.109715759,118834.3574,782.3604,9637.12619,2.376,0.333,0.179,20.772,16.634,5.572,0.032,0.052,0.678,0.068,0.681,1.484,0.036,0.000299197,3,"336"
"83","Scotland",0.158993536,0.061532209,0.0001267,0.025417914,0.017421212,0.015793233,0.045777586,0.089800774,15418.02576,107.565,868.6867271,4.1,0.256,0.04,20.458,17.684,6.143,0.008,0.019,0.611,0.023,0.486,0.926,0.027,0.000722262,3,"256"
"84","Stanly",0.208339775,0.038790011,0.000173929,0.024991651,0.001189975,0.003131612,0.035268917,0.021955503,48774.90791,534.2099702,4415.960345,8.741,0.306,0.057,22.293,47.365,22.239,0.436,0.384,0.538,0.98,3.716,4.692,0.032,0.000636833,3,"339"
"85","Stokes",0.071529042,0.051365872,0.000294753,0.007046656,0.00074031,0.002196939,0.002573949,0.204853815,4517.80519,46.0798,425.12493,1.416,0.136,0.042,20.132,50.023,12.769,0.686,0.603,0.741,1.235,3.315,5.133,0.02,0.000111829,2,"321"
"86","Surry",0.115890961,0.055240545,0.000357365,0.014082518,0.006054873,0.002362098,0.00141784,0.062221296,19837.49172,94.8142,1740.251544,1.29,0.144,0.053,21.244,59.165,12.964,0.435,0.457,0.88,0.606,4.412,4.509,0.015,0.000322948,2,"518"
"87","Swain",0.004358261,0.001890121,0.0000231207,0.000190746,0,0.002341643,0,0.281567186,118.6416,57.12,25.99085,1.35,0.145,0.026,18.685,61.576,8.271,0.462,0.348,0.556,0.472,2.345,4.367,0.032,0.000154226,2,"105"
"88","Transylvania",0.025907544,0.003682895,0.000131385,0.001806548,0,0.00046806,0.001668046,0.09268052,187.20498,4.76,23.1316,1.434,0.117,0.027,23.608,40.505,7.028,0.88,0.319,0.493,0.732,2.25,5.612,0.021,0.000238631,1,"257"
"89","Tyrrell",0.178051599,0.0000702774,0.00000781,0.000513632,0.019107634,0.004877769,0.000528729,0.197678229,114097.0522,11162.9068,12975.82751,1.769,0.274,0.053,18.397,41.539,7.101,1.168,0.215,0.53,0.745,1.478,5.124,0.028,0.000241022,3,"21"
