"","County","PM10_mean","PM25_mean","NO2_mean","SO2_mean","O3_mean","CO_mean","BENZENE","TOLUENE","XYLENES","Pb","Hg","As","WaterCR","Cd","Air","PCB","HCB","EOx","VyCl","TRICHLORENE","C2CL4","DCM","C3H3N","Benzidine","24D","ATRAZINE","HCCPD","pct_manure_acres","Herbicides","Fungicides","Insecticides","Per_TotPopSS_ave","med_hh_inc","pct_pers_lt_pov","med_hh_value","pct_unemp","pct_hs_more","pct_mt_10units","med_rooms","violent_rate","work_out_co"
"3057","Columbia",9.9501363559,9.4168382555,846.42552772,676.4868608,9941.3934667,617.91596516,0.5,0.5,0.5,0.0009935028,0.0005237541,0.005,0.003,0.0000377153,0.0001087619,0.1,0.1,0.0071922484,0.0014497882,0.37,0.5,0.5,0.0050060683,0.0000000066,0.1,0.22,0.1,0.078015034,226980.862,160.1844,8845.68588,45.05,45064,5.2,115000,3.5,86.2,5.7,5.8,0,47.5
"3058","Crawford",8.9273152832,9.9748864174,509.77569883,251.91757669,5958.1267057,268.16532542,0.39,0.58,0.64,0.0006663781,0.0005089691,0.001,0,0.0000353844,0.0000607857,0.1,0.1,0.005707667,0.00238989,0.45,0.5,0.5,0.0034389972,0.0000000066,0.1,0.1,0.1,0.078977671,52302.29836,366.3657,2069.31684,47.75,34135,10.2,75100,4.8,81.3,3.8,5.2,215.97819,27.5
"3059","Dane",13.216801278,12.112014083,778.57025105,380.78167511,12494.73531,798.31757095,0.5,0.68,0.9,0.0021513583,0.0005548226,0.001,0.003,0.0000819093,0.0004832856,0.1,0.1,0.0104419362,0.0194380084,1.13,1,0.93,0.0061480081,0.0000000066,0.1,0.33,0.1,0.121607551,312783.0345,280.5921,11601.2076,16.99,49223,9.4,146900,3.8,92.2,20.2,5.3,145.41429,5.4
"3060","Dodge",10.558062083,9.8716100335,848.08165225,3706.4352179,7822.0523136,760.68014157,0.5,0.58,1.15,0.0017594126,0.0005133056,0.002,0.003,0.0000401844,0.0009843104,0.1,0.1,0.0082434518,0.0108985065,1.37,0.5,0.84,0.0061265137,0.0000000066,0.1,0.1,0.1,0.123282092,250514.2535,238.4937,9401.18424,39.07,45190,5.3,105800,3.3,82.3,7,5.7,36.799999,40.2
"3061","Door",5.1897578623,7.3893315424,254.56211071,169.93322301,8784.2916141,143.20218908,0.5,0.31,0.5,0.0006719383,0.0005056029,0.002,0.002,0.0000302111,0.0000885244,0,0,0.0019154506,0.0001261309,0.5,0.5,0.5,0.001688255,0.00000000627,0,0,0,0.010164891,27486.766,2881.481957,1213.062545,63.17,38813,6.4,120800,5.4,87.8,2.9,5.5,195.63117,11.4
"3062","Douglas",10.783197027,6.2453200339,312.70706297,22.01386985,5936.4806286,308.38405734,0.5,0.44,0.5,0.0010185899,0.0005310145,0.005,0.002,0.0000823209,0.0000926298,0,0,0.0015847908,0.0103219962,0.5,0.5,0.5,0.0012653229,0.0000000063642857,0,0,0,0.003707996,7.595,NA,NA,35.8,35226,11,69900,7.1,85.9,6.4,5.4,259.29999,35.2
"3063","Dunn",7.6483076693,7.2797028291,363.0585923,154.02269043,6369.7281148,313.01999186,0.5,0.36,0.5,0.000524813,0.0005130966,0.004,0.002,0.0000384957,0.0000685834,0.1,0.1,0.0014953404,0.0018985601,0.37,0.54,0.39,0.0011409706,0.0000000066,0.1,0.1,0.1,0.073068954,141135.4036,9560.0031,6203.334187,53.54,38753,12.9,92900,7.2,86.6,6.4,5.6,151.8,34.7
"3064","Eau Claire",8.1503559792,7.5309382591,307.01967949,248.17215163,5555.6547523,284.35454342,0.62,2.15,5,0.001127267,0.0005702607,0.002,0.001,0.0000687748,0.0001770662,0.1,0.1,0.003014169,0.0123294976,0.5,0.62,0.83,0.0012008494,0.0000000066,0.1,0.1,0.1,0.053017198,64899.38143,0.882818182,2408.0614,25.13,39219,10.9,96300,4.7,88.9,6.9,5.5,247.60001,17.8
"3065","Florence",5.4357974946,6.1813786541,135.72285909,206.37006926,9606.3507161,136.21738255,0.5,0.5,0.5,0.000379585,0.0005054884,0.003,0.002,0.0000355823,0.0000473925,0,0,0.0006513057,0.0001088463,0.5,0.5,0.5,0.0009933953,0.0000000066,0,0,0,0.003847671,357.381847,1362.444047,143.8674324,75.02,34750,9.1,82200,5.7,83.7,1.5,4.9,106.96836,62.1
"3066","Fond du Lac",9.0148908421,9.3224355879,852.81465323,3210.4522977,10060.81103,563.66812012,0.62,1.16,1.35,0.0039356959,0.0005329282,0.004,0.01,0.000059931,0.0026065232,0.1,0.1,0.0072750871,0.0117836247,0.62,0.5,1.48,0.0040557504,0.0000000066,0.1,0.1,0.1,0.137021742,171948.7287,242.0925,6351.82436,34.83,45578,5.8,101000,4.3,84.2,7.2,5.7,142.5,27.9
